b_name,vb_name,slug,timestamp,start_time,end_time
Me and Ga Green Inc. dba Green Olive,Arifs Mediterranean Grill,arifsmedit_americanch_gh,2022-08-12T16:39:54.342657,08:00:00.000,19:30:00.000
Me and Ga Green Inc. dba Green Olive,Arifs Mediterranean Grill,arifsmedit_americanch_gh,2022-08-19T11:44:48.795039,08:00:00.000,14:30:00.000
Me and Ga Green Inc. dba Green Olive,Arifs Mediterranean Grill,arifsmedit_americanch_gh,2022-08-02T19:41:35.443619,08:00:00.000,19:30:00.000
Me and Ga Green Inc. dba Green Olive,Arifs Mediterranean Grill,arifsmedit_americanch_gh,2022-08-03T13:43:52.088949,08:00:00.000,19:30:00.000
Me and Ga Green Inc. dba Green Olive,Crispy Falafel Land,crispyfala_americanch_gh,2022-08-03T13:54:39.782150,08:00:00.000,19:30:00.000
Me and Ga Green Inc. dba Green Olive,Crispy Falafel Land,crispyfala_americanch_gh,2022-08-19T11:46:49.016418,08:00:00.000,14:30:00.000
Me and Ga Green Inc. dba Green Olive,Crispy Falafel Land,crispyfala_americanch_gh,2022-08-02T11:21:42.358657,08:00:00.000,19:30:00.000
Me and Ga Green Inc. dba Green Olive,Crispy Falafel Land,crispyfala_americanch_gh,2022-08-12T14:38:02.040924,08:00:00.000,19:30:00.000
Me and Ga Green Inc. dba Green Olive,Gyro Spot,gyrospot_americanch_gh,2022-08-02T13:02:49.688806,09:00:00.000,21:00:00.000
Me and Ga Green Inc. dba Green Olive,Gyro Spot,gyrospot_americanch_gh,2022-08-03T11:40:35.049058,09:00:00.000,21:00:00.000
Me and Ga Green Inc. dba Green Olive,Gyro Spot,gyrospot_americanch_gh,2022-08-12T18:53:11.951760,09:00:00.000,21:00:00.000
Me and Ga Green Inc. dba Green Olive,Gyro Spot,gyrospot_americanch_gh,2022-08-19T11:48:49.635931,08:00:00.000,14:30:00.000
Me and Ga Green Inc. dba Green Olive,Kabob N Grills,kabobngril_americanch_gh,2022-08-12T15:44:03.771347,08:00:00.000,19:30:00.000
Me and Ga Green Inc. dba Green Olive,Kabob N Grills,kabobngril_americanch_gh,2022-08-03T12:47:36.814899,08:00:00.000,19:30:00.000
Me and Ga Green Inc. dba Green Olive,Kabob N Grills,kabobngril_americanch_gh,2022-08-19T11:50:59.788006,08:00:00.000,14:30:00.000
Me and Ga Green Inc. dba Green Olive,Kabob N Grills,kabobngril_americanch_gh,2022-08-02T19:40:40.515259,08:00:00.000,19:30:00.000
Me and Ga Green Inc. dba Green Olive,Marty's Gyro Bar,martysgyr_americanch_gh,2022-08-19T11:52:47.185910,08:00:00.000,14:30:00.000
Me and Ga Green Inc. dba Green Olive,Marty's Gyro Bar,martysgyr_americanch_gh,2022-08-03T10:10:30.171085,09:00:00.000,21:00:00.000
Me and Ga Green Inc. dba Green Olive,Marty's Gyro Bar,martysgyr_americanch_gh,2022-08-02T12:19:45.018914,09:00:00.000,21:00:00.000
Me and Ga Green Inc. dba Green Olive,Marty's Gyro Bar,martysgyr_americanch_gh,2022-08-12T10:57:28.832645,09:00:00.000,21:00:00.000
Marhaba Indian,Bombay Seafood Grill,bombayseaf_tlkitche_gh,2022-08-02T11:08:49.744599,11:30:00.000,23:30:00.000
Marhaba Indian,Bombay Seafood Grill,bombayseaf_tlkitche_gh,2022-08-12T07:33:20.920496,11:30:00.000,23:30:00.000
